Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_20,sma_50,ema_12,ema_26,macd,macd_signal,macd_hist,rsi,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,atr,daily_ret_lagged,obv,vwap,roc_5,roc_20,price_volatility,volume_volatility
2020-12-31,211.0,213.0,209.6699981689453,212.6999969482422,206.9197998046875,1406400,204.20368041992188,205.1375930786133,192.33035247802735,204.38146865374262,201.5997958269866,2.7816728267560222,4.248284486129189,-1.466611659373167,47.34677944886411,204.8500061035156,216.6999969482422,3.100176280999338,-4.644212407658251,205.1375930786133,208.77343291133442,201.50175324589216,7.519290379115516,0.008702783173084372,68894800,154.43800802966607,1.4475430825553026,2.303608615877617,1.8179199163605664,1160919.2175871492
2021-01-04,212.83999633789065,213.00999450683597,206.3600006103516,207.9499969482422,202.2989044189453,2328900,204.73094787597657,205.36620635986327,193.11344787597656,204.77198113850338,201.99387019570517,2.7781109427982074,3.9549621542545563,-1.176851211456349,51.41523835241199,204.8500061035156,216.6999969482422,17.466627006661277,2.908529176072282,205.36620635986327,208.83451021140436,201.89790250832218,7.347837175641741,0.00829570635296295,71223700,154.72626679249558,1.2905289775761108,2.259610251014843,1.7341519257705462,1191435.5385526808
2021-01-05,206.97999572753903,210.19000244140625,206.97999572753903,208.4600067138672,202.7950439453125,2172100,204.4235412597656,205.3530746459961,193.8116778564453,204.39150779703292,202.01646532335258,2.375042473680338,3.7195919119632865,-1.3445494382829484,38.02012159822849,204.8500061035156,214.8999938964844,-21.528300890675872,-0.3204992010050856,205.3530746459961,208.86776881662192,201.83838047537026,7.347013201032366,-0.022331818366844836,69051600,154.81701052598046,-0.7540540200643875,-0.12965653748192585,1.7573470853129183,1191211.185605024
2021-01-06,209.4499969482422,213.97999572753903,209.22999572753903,212.25999450683597,206.4917449951172,2747900,204.13558959960938,205.14780960083007,194.44275482177736,204.14589797369132,202.07413781386813,2.071760159823185,3.450682024306697,-1.378921864483512,43.38151936985568,204.8500061035156,214.3300018310547,-20.447409494773648,-8.169694459596082,205.14780960083007,208.7601833064273,201.53543589523284,7.516860961914061,0.0024525072332557407,71799500,155.07806282281825,-0.7049524786898798,-1.984192392875772,1.806186852798624,1183040.4017659444
2021-01-07,212.88999938964844,214.00999450683597,210.8000030517578,212.6100006103516,206.83226013183597,2057300,204.74457397460938,205.20423278808593,195.173134765625,204.50679751544914,202.40136797544213,2.105429540007009,3.174897651409995,-1.069468111402986,46.474628616491124,204.8500061035156,214.00999450683597,17.317928602355703,-8.219260594364604,205.20423278808593,208.8656955613056,201.54277001486625,7.6267275129045755,0.01822875440092897,73856800,155.0773613779302,1.496667201926405,0.5494963550682019,1.830731386609837,1184313.6296028846
2021-01-08,212.8000030517578,213.41000366210935,207.6699981689453,210.02999877929688,204.3223571777344,3278900,205.0675506591797,205.23049926757812,196.01431915283203,204.86456099489325,202.7295822092491,2.134978785644165,2.961004029129398,-0.8260252434852329,54.87706722755047,204.8500061035156,214.00999450683597,21.6403552170637,6.170291441548585,205.23049926757812,208.93258126857728,201.52841726657897,7.571904863630016,0.0016490496350196615,77135700,155.47154518107286,0.7869135882881961,0.25463496958810783,1.8510410004995752,1187597.1814417639
2021-01-11,208.1100006103516,209.6199951171875,207.8300018310547,208.3600006103516,202.69776916503903,2938900,204.54806213378907,205.1230010986328,196.87153594970704,204.78114502302265,202.847565540248,1.9335794827746327,2.7957989804323518,-0.8622194976577191,46.10677475479717,204.8500061035156,214.00999450683597,-5.76036674445928,11.06597235832004,205.1230010986328,208.7980145319036,201.44798766536204,7.49819837297711,-0.012134968464308837,74196800,155.56772037500608,-1.2552895515097307,-1.0412840680581459,1.8375067166353891,1196825.1450685777
2021-01-12,207.8600006103516,209.47999572753903,205.25999450683597,208.8800048828125,203.20361328125,2498800,204.62783508300782,204.94740676879883,197.80451568603516,204.46062566025594,202.83646951245476,1.6241561478011874,2.623355080900808,-0.9991989330996205,46.54321720787682,205.25999450683597,214.00999450683597,-23.496066192577345,-2.538692573324308,204.94740676879883,208.7376005408608,201.15721299673686,7.494936261858251,-0.007951102537849919,71698000,155.62412917903129,0.19716604360233703,-1.7030660294287125,1.8950968860309774,1195822.2573434128
2021-01-13,208.27999877929688,208.6199951171875,206.3999938964844,207.0200042724609,201.39414978027344,2145100,204.7095489501953,204.66771926879886,198.68099395751952,204.26723914040886,202.86366534718033,1.4035737932285315,2.423515294280884,-1.0199415010523527,46.32233844869526,205.25999450683597,214.00999450683597,-23.50149972098247,-17.585977552673032,204.66771926879886,208.067118614125,201.26831992347272,7.433622087751108,0.002495558378834861,73843100,155.672115677697,0.201469093124218,-2.679032872874554,1.699699672663067,1186605.824355644
2021-01-14,208.0399932861328,209.77999877929688,207.17999267578125,208.6100006103516,202.94094848632807,3661500,203.69002990722657,204.43278121948245,199.51450469970703,203.82522539269573,202.75481234222426,1.0704130504714726,2.2195269940704137,-1.149113943598941,48.02912016537173,205.25999450683597,214.00999450683597,-44.18108258928604,-30.39288283428195,204.43278121948245,208.0593431470337,200.8062192919312,7.328979492187494,-0.008904681721737528,70181600,156.1261634804062,-2.46866779830075,-2.2799236367957665,1.8132809637756182,1169640.0637870568
2021-01-15,207.52999877929688,207.8600006103516,205.1999969482422,205.97000122070312,200.3727264404297,3887500,202.91176757812497,204.16233444213867,200.21124481201173,203.6891827917161,202.76860020475047,0.9205825869656223,1.9897042053506255,-1.0691216183850032,46.98422513544455,205.1999969482422,214.00999450683597,-26.50338309151883,-31.39532180059578,204.16233444213867,207.33759441429405,200.9870744699833,7.222016470772881,0.007680455006971343,74069100,156.35528052386536,-1.8813852553888566,-2.596082820959511,1.587629986077689,1203277.3490828248
2021-01-19,208.2400054931641,208.75999450683597,206.4499969482422,206.75999450683597,201.14122009277344,2656300,202.12184143066403,203.95123367309571,200.74817260742188,203.17895873767202,202.59112807406004,0.5878306636119817,1.775879881673625,-1.1880492180616433,42.89711115075153,205.1999969482422,214.00999450683597,-54.79309699812235,-41.825854226309076,203.95123367309571,207.53992035421572,200.3625469919757,7.292960030691971,-0.012655021399347599,71412800,156.2743462143891,-1.9330389448615426,-2.0635991635343354,1.7943433405600107,1241536.6893597292
2021-01-20,207.9199981689453,208.6699981689453,206.6699981689453,208.0800018310547,202.4253845214844,2452400,201.8105316162109,203.69927139282225,201.30627960205078,202.8654604846107,202.48372748285362,0.3817330017570839,1.5382700380612964,-1.1565370363042125,43.74996531885999,205.1999969482422,214.00999450683597,-46.07012463368489,-42.45553490777536,203.69927139282225,207.33623639528685,200.06230639035766,7.318930489676341,0.0038353206346783963,73865200,156.36357836770566,-0.7679162324663924,-2.4440945888850596,1.8184825012322905,1239057.7648804463
2021-01-21,206.8600006103516,207.80999755859372,205.1000061035156,205.22999572753903,199.65280151367188,2705100,201.6548858642578,203.60393524169922,201.80544219970704,202.79775649028358,202.47940578201147,0.31835070827210643,1.306962630800454,-0.9886119225283476,47.97692508085838,205.1000061035156,214.00999450683597,-31.493906874596888,-44.11904283546804,203.60393524169922,207.27089210625834,199.9369783771401,7.1218904767717595,0.006384392160486474,76570300,156.5349774023206,-0.38297978426616863,-0.9331490020729305,1.8334784322795614,761084.6349471472
2021-01-22,204.25999450683597,204.4600067138672,201.38999938964844,202.25,196.7537841796875,3502700,201.3066162109375,203.33981399536134,202.22998046875,202.31391726311256,202.2700276880604,0.0438895750521624,1.1092402462947846,-1.0653506712426222,39.399490496515874,201.38999938964844,214.00999450683597,-61.13593355310971,-46.23332168713049,203.33981399536134,207.34809859752295,199.33152939319973,6.909360613141739,-0.013696814825703174,73067600,156.82493006575984,-0.8646468968941834,-2.5776070900594084,2.0041423010807993,765378.3084372829
2021-01-25,201.33999633789065,202.55999755859372,200.1000061035156,201.8699951171875,196.3841094970703,4737700,200.06918334960938,203.06304550170898,202.3502069091797,201.45851217335485,201.86141705781054,-0.40290488445569395,0.8961701120462602,-1.2990749965019541,31.47816600927652,200.1000061035156,214.00999450683597,-36.7370602516854,-43.122300226464006,203.06304550170898,208.02723361750878,198.09885738590918,6.849090576171871,-0.014520293790046601,68329900,157.23918929124596,-3.0487510543281915,-2.7363651298892178,2.482094057899904,804547.0856653651
2021-01-26,203.83999633789065,204.7700042724609,200.97999572753903,201.05999755859372,195.5961151123047,2201900,199.2714599609375,202.6680778503418,202.36640563964843,200.67783483854186,201.4556905718298,-0.7778557332879359,0.6363551127458694,-1.4142108460338054,37.24825944557539,200.1000061035156,214.00999450683597,-26.713872784813283,-41.52895552986947,202.6680778503418,208.41820474807557,196.91795095260804,6.884433201381133,-0.0018788694924392058,66128000,156.89932473003742,-1.990598727789028,-3.866858790098937,2.8750634488668854,952923.830777234
2021-01-27,198.1100006103516,200.75999450683597,196.52999877929688,199.3800048828125,193.96177673339844,4108600,198.16243896484374,202.25608673095704,202.41893829345702,199.89603180373615,201.0216479451983,-1.1256161414621602,0.3535129435391084,-1.4791290850012686,34.672670389754714,196.52999877929688,214.00999450683597,-32.37882635571294,-31.943253130737208,202.25608673095704,208.78227420544928,195.7298992564648,6.4543566022600425,-0.004012516016614787,62019400,157.38636665996012,-2.75682178815021,-4.042379616055348,3.2630937372461193,860827.7597754389
2021-01-28,200.6199951171875,205.3500061035156,199.6300048828125,202.83999633789065,197.3277740478516,3731700,196.46971740722657,201.74243545532227,202.46057495117188,198.98306948522264,200.49869452210203,-1.5156250368793849,0.057687126538854695,-1.5733121634182397,20.753893122376113,196.52999877929688,213.41000366210935,-14.692349391437768,-24.59501617732133,201.74243545532227,209.16801492389715,194.31685598674738,6.730783735002784,-0.00835567913998636,58287700,157.48274740812943,-4.181100017714268,-5.030007324763752,3.7127897342874356,895405.2527237396
2021-01-29,196.50999450683597,200.94000244140625,194.5500030517578,195.3699951171875,190.06076049804688,4635100,196.0047119140625,201.436483001709,202.48586883544922,198.72840864870403,200.2638115240094,-1.5354028753053797,-0.25697530614479325,-1.2784275691605864,30.56110360737108,194.5500030517578,209.77999877929688,4.726155437117351,-14.115006770011119,201.436483001709,209.06776908443365,193.80519691898436,6.717373439243859,0.017353920814407342,62922800,157.79649778094418,-1.1645353574771034,-3.0076896647596385,3.8156430413623244,874916.3508286774
2021-02-01,197.5500030517578,197.7700042724609,195.27999877929688,195.55999755859372,190.2455902099609,2889000,194.66610717773438,200.67865219116212,202.2286538696289,197.3949243178337,199.5080299665307,-2.113105648697001,-0.5126608199769106,-1.6004448287200903,25.582964022642486,194.5500030517578,209.77999877929688,-29.476321819272968,-13.147505257864461,200.67865219116212,209.62585709512555,191.73144728719868,6.889630998883926,-0.03682711967369823,60033800,157.6029811125818,-3.40172551676472,-7.385639780607322,4.473602451981724,910971.575268608
